ID,TMEM132A,CD6,CYBA,DGAT2,CHI3L2,PKM,SEMA3C,JAK3,CCL2,CD5,MYO1G,FKBP10,UCHL1,SLFN13,MS4A1,PTGER1,HACD1,RHOH,KRT19,SPHK1,FZD2,SOCS3,MROH2A,PDIA2,VEPH1,CARD11,UGT1A3,BATF3,NLR
TCGA-G3-A7M5,0.001180222,0.011346357,0.006473914,0.127132092,0.001441237,0.003055747,0.000750431,0.015197099,0.001724015,0.0080745,0.014810526,0.001856408,0.0001677,0.003814868,0.000530437,0,0.002391276,0.005748408,0.000614907,0.001113398,0.003861359,0.020369782,0.221449766,0.000743465,0,0.01009496,0.018545485,0.02516925,0.19808823
TCGA-G3-A7M6,0.138204813,0.070604292,0.149290111,0.034843041,0.048914583,0.078572339,0.295073152,0.211550073,0.033496754,0.043467547,0.07593523,0.540292782,0.058623739,0.035416392,0.013752687,0.03694108,0.046792509,0.05268925,0.292247669,0.776804156,0.053429986,0.035686075,0.002609123,0.001817448,0.540434474,0.072186138,0.007379862,0.07885395,0.069812496
TCGA-G3-A7M7,0.008318432,0.015404603,0.00848763,0.055221448,0.021699141,0.003062111,0.003341488,0.016935596,0.003523067,0.007956175,0.013335076,0.010941749,0.019511892,0.001373979,0.000197144,0.001464545,0.006934342,0.003441691,0.000828723,0.003673725,0.003850267,0.059201804,0.000969203,0.000966853,0.00558562,0.012980874,0.010574839,0.018520494,0.074062404
TCGA-G3-A7M8,0.008870455,0.001573103,0.010818114,0.062840724,0.003085077,0.00322315,0.003802382,0.011071205,0.038575117,0.001370034,0.010384177,0.011439038,0.000458829,0.005184148,0.000279922,0.006246806,0.007735008,0.003635347,0.002106828,0.005703896,0.008388196,0.065075269,0.009619166,0.00011787,0.002608237,0.006726784,0.059034947,0.028452406,0.192869691
TCGA-G3-A7M9,0.262591278,0.021053996,0.22073975,0.108016314,0.027247674,0.140097666,0.151687584,0.194368103,0.016144742,0.02178658,0.07772071,1,0.26180059,0.309671749,0.001391443,0.086893941,0.323808741,0.031458135,0.082719171,0.095220699,0.149460091,0.228388596,0.00737525,0.030436676,0.021977872,0.210063192,0.019861413,0.300401544,0.071075704
TCGA-G3-AAUZ,0.00358434,0.029652753,0.030353444,0.118785797,0.005173259,0.005919478,0.003586707,0.045069054,0.024506328,0.015506522,0.040397438,0.015386878,0.000381894,0.002834126,0.003945055,0.097426431,0.00457881,0.019500465,0.000478772,0.010299633,0.005960784,0.022905934,0.000188749,0.001259513,0.000714088,0.0246872,0.005672713,0.065454598,0.097249315
TCGA-G3-AAV0,0.002994229,0.00833958,0.015162554,0.437315035,0.003775766,0.000820606,0.002617646,0.01167673,0.010302311,0.0038138,0.019434847,0.006069515,0.000111588,0.002552123,0.001439368,0.015289563,0.001669246,0.003377956,0.002329318,0.000330038,0.002520895,0.010417504,0.067702883,0.008579244,0.000416047,0.010847058,0.003011221,0.026231305,0.378349505
TCGA-G3-AAV1,0.007471354,0.004683222,0.007112515,0.038343813,0.005060447,0.011150464,0.002756506,0.01656083,0.004967188,0.003727745,0.01308481,0.010914276,0.000112303,0.004085904,0.000236355,0,0.019194544,0.006339183,0.000587783,0.0140467,0.004306595,0.04668861,0.004755592,6.20E-05,0.001196702,0.015470645,0.459232929,0.068214002,0.076749774
TCGA-G3-AAV2,0.039071748,0.005347567,0.011058071,0.030154762,0.001220217,0.005192909,0.002540831,0.00813901,0.00468741,0.003326807,0.021780625,0.007689976,0.00044349,0.001786016,6.64E-05,0.043025959,0.002162514,0.002191504,4.84E-05,0.003078958,0.007079422,0.005712815,0.058824666,0.000559814,0.011181831,0.01267659,0.476735157,0.033088592,0.069343961
TCGA-G3-AAV3,0.019700668,0.100378431,0.05145248,0.017472238,0.024328363,0.019417895,0.013871162,0.132179541,0.013131284,0.057991281,0.150376333,0.020865371,0.001842471,0.011240937,0.004616542,0.005721441,0.004167754,0.055231297,0.000186757,0.007313574,0.020236879,0.046215182,0.012475858,0.000944031,0.000388815,0.066772177,0.339368948,0.062564257,0.213963127
TCGA-G3-AAV4,0.013085026,0.00659916,0.011664718,0.017866306,0.000985383,0.005753075,0.000682479,0.012186828,0.003165259,0.006963609,0.01207254,0.007130583,0.000261325,0.003264963,0,0.039521126,0.001962347,0.003478461,0.000527775,0.005051853,0.001822143,0.023536313,0.022372441,0.000253997,0.000163393,0.009635663,0.224640244,0.029853931,0.186231479
TCGA-G3-AAV5,0.000906496,0.009443541,0.011278615,0.056030167,0.005028215,0.005020036,0.007406817,0.01853182,0.001619285,0.007840783,0.03533982,0.006865778,9.53E-05,0.00179385,0.002978396,0.006872926,0.002920287,0.010658456,0,0.001692798,0.003899386,0.015473888,0.026254521,5.40E-05,0.001559798,0.013189471,0.117662866,0.025911234,0.080660122
TCGA-G3-AAV6,0.034202063,0.011643261,0.092248184,0.10656949,0.004551639,0.021749177,0.094099364,0.046028524,0.005663124,0.011353391,0.215594942,0.451744587,0.00094182,0.002116586,0.000743918,0.007542227,0.006044315,0.032553887,0.006319577,0.463533761,0.014155674,0.023113702,0.0011799,0.004978985,0.002602185,0.01142692,0.000989909,0.040387189,0.130692273
TCGA-G3-AAV7,0.081935036,0.019416918,0.039270104,0.064941357,0.011396366,0.200379331,0.124610012,0.049004095,0.04196871,0.022173827,0.097962385,0.029128592,0.021422397,0.160949847,0.001100629,0.045314535,0.024756315,0.017691371,0.001130059,0.21535875,0.016538721,0.336801654,0.000568002,0.000178013,0.064118139,0.04480057,0.001238868,0.063679657,0.085171107
TCGA-GJ-A3OU,0.034109128,0.240694659,0.187740741,0.075937475,0.02201916,0.097744153,0.210046917,0.236496287,0.033909574,0.189275006,0.27310386,0.054180289,0.0113845,0.021628032,0.005653997,0.022928946,0.048014955,0.09862504,0.010728793,0.030961064,0.054489998,0.105141195,0.056443797,0.003153482,0.007806555,0.172863983,0.008152426,0.173527187,0.021825765
TCGA-GJ-A6C0,0.013651777,0.037700349,0.028487803,0.05637182,0.043059844,0.077651334,0.00871564,0.087037615,0.020991433,0.026459952,0.056922474,0.011450813,0.032485724,0.034907221,0.000311509,0.01250081,0.015680906,0.019843653,0.000272012,0.012099999,0.008440483,0.147774953,0.067597535,0.001637287,0.007566004,0.020624337,0.004101899,0.042162131,0.073083774
TCGA-GJ-A9DB,0.051298016,0.022833784,0.024869506,0.1124109,0.022164204,0.031434247,0.035615945,0.032523076,0.011053719,0.015013661,0.034017519,0.024558333,0.000968446,0.040750942,0.00156408,0.044062295,0.014708668,0.014521779,0.001718036,0.088009106,0.014863933,0.095662667,0.009498894,0.007358126,0.026170113,0.03907467,0.054832279,0.083630773,0.100564817
TCGA-HP-A5MZ,0.010035442,0.072287299,0.029508407,0.080496521,0.030988905,0.014953239,0.05964452,0.108239642,0.034715188,0.054129564,0.097846591,0.03765708,0.002836349,0.012744951,0.009211299,0.013216889,0.011813402,0.034468389,0.000143839,0.014360323,0.025072688,0.063539041,0.010915827,0.000623179,0.000764014,0.068492626,0.010647946,0.07449419,0.063375566
TCGA-HP-A5N0,0.01553485,0.016869442,0.024224032,0.217036578,0.005760345,0.009713366,0.019960292,0.015056562,0.047124526,0.005234686,0.046740003,0.041999241,0.000986567,0.005578951,0.00325723,0.024220768,0.005293691,0.009457296,5.27E-05,0.003317494,0.016499109,0.016752819,0.335041437,0.00022849,0.000440253,0.022497885,0.137783117,0.093645128,0.159315504
TCGA-K7-A5RF,0.002663625,0.042109632,0.048098739,0.11509892,0.01035803,0.008759542,0.030099979,0.032012978,0.115263503,0.041227183,0.059619371,0.019709647,0.001070099,0.035447726,0.011586828,0.031942915,0.027497882,0.02646229,0.035706994,0.013019216,0.013377699,0.167501491,0.00436756,0.000136933,0.009360301,0.04681382,0.024303161,0.070008341,0.114323293
